year,make,model,transmission,color,interior,sellingprice,saledate
2013,Jeep,Wrangler,automatic,black,black,25250,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2013,Kia,Sportage,automatic,gray,gray,15200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,white,white,12500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,silver,gray,15300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Jeep,Grand Cherokee,automatic,black,black,26750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,automatic,black,beige,22750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,white,beige,16400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Forte,automatic,black,gray,2700,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,white,black,16500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,brown,beige,13300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,gray,gray,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,gray,black,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,automatic,black,black,56250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Lincoln,MKX,automatic,burgundy,tan,24500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,automatic,white,tan,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mazda,Mazda5,automatic,white,beige,14000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,lincoln,mkt,automatic,black,black,17750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,manual,black,black,28250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Lexus,GS 350,automatic,silver,black,31900,Wed Jan 21 2015 05:00:00 GMT-0800 (PST)
2013,Jaguar,XF,automatic,black,tan,26000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,automatic,white,black,22250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Soul,automatic,black,black,6000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,white,beige,14300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,silver,black,13500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,gray,black,13300,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,automatic,black,black,23750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,white,black,16600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,GL-Class,automatic,gray,black,48000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Mazda,Mazda5,automatic,gray,tan,13100,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2013,Kia,Sportage,automatic,blue,black,15250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,GL-Class,automatic,silver,black,46750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Jaguar,XF,automatic,blue,gray,26000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Rio,automatic,black,black,12000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,M-Class,automatic,silver,black,42750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
